"oem","model","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","features_sensors","platform_os"
"Philips","Fisio 620",2002,NA,"104 x 46 x 20 mm, 73 cc (4.09 x 1.81 x 0.79 in)",85,"Mini-SIM","Monochrome graphic",NA,"101 x 80 pixels, 8 lines","V1",NA
"Philips","Fisio 610",2001,NA,"110 x 45 x 18 mm (4.33 x 1.77 x 0.71 in)",90,"Mini-SIM","Monochrome graphic",NA,"5 lines","V1",NA
"Philips","Azalis 268",2000,NA,"119 x 44 x 22 mm (4.69 x 1.73 x 0.87 in)",99,"Mini-SIM","Monochrome graphic",NA,"5 lines","V1",NA
"Philips","Azalis 238",2000,NA,"114 x 51 x 24 mm, 119 cc (4.49 x 2.01 x 0.94 in)",125,"Mini-SIM","Monochrome graphic",NA,"5 lines","V1",NA
"Philips","Diga",1997,NA,"147 x 56 x 19 mm (5.79 x 2.20 x 0.75 in)",179,"Mini-SIM","Alphanumeric",NA,"1 x 12 chars","V1",NA
"Philips","Fizz",1996,NA,"162 x 60 x 17 mm (6.38 x 2.36 x 0.67 in)",169,"Mini-SIM","Alphanumeric",NA,"3 x 12 chars","V1",NA
"Plum","Ram 8",2018,"2018","111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in)",134,"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4 inches","240 x 320 pixels, 4:3 ratio (~167 ppi density)","V1",NA
"Qtek","8600",2006,NA,"112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in)",120,"Mini-SIM","TFT, 65K colors","2.2 inches","240 x 320 pixels, 4:3 ratio (~182 ppi density)","V1","Microsoft Windows Mobile 5.0 Smartphone"
"Qtek","8300",2005,NA,"107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in)",106,"Mini-SIM","TFT, 65K colors","2.2 inches","240 x 320 pixels, 4:3 ratio (~182 ppi density)","V1","Microsoft Windows Mobile 5.0 Smartphone"
"Qtek","8080",2004,NA,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",130,"Mini-SIM","TFT, 65K colors","2.2 inches","176 x 220 pixels (~128 ppi density)","V1","Microsoft Windows Mobile 2003 Smartphone"
"Qtek","8060",2004,NA,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",130,"Mini-SIM","TFT, 65K colors","2.2 inches","176 x 220 pixels (~128 ppi density)","V1","Microsoft Windows Mobile 2003 Smartphone"
"Qtek","1010",2003,NA,"129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in)",201,"Mini-SIM","TFT resistive resistive touchscreen, 4096 colors","3.5 inches","240 x 320 pixels, 4:3 ratio (~114 ppi density)","V1","Microsoft Windows Mobile 2002 PocketPC"
"Qtek","7070",2004,NA,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",120,"Mini-SIM","TFT, 65K colors","2.2 inches","176 x 220 pixels (~128 ppi density)","V1","Microsoft Windows 2002 Smartphone"
"Realme","X3 SuperZoom",2020,"2020","163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in)",202,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Realme","6S",2020,"2020","162.1 x 74.8 x 8.9 mm (6.38 x 2.94 x 0.35 in)",191,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10"
"Realme","X50 Pro Player",2020,"2020","159 x 74.2 x 8.9 mm (6.26 x 2.92 x 0.35 in)",209,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.44 inches","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10"
